match_id,id,title,authors,venue,year,source,
0,309852,Semantic integration of environmental models for application to global information systems and decision-making,D. Scott Mackay,ACM SIGMOD Record ,1999,ACM,
0,journals/sigmod/Mackay99,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,D. Scott Mackay,SIGMOD Record,1999,DBLP,
1,conf/vldb/PoosalaI96,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1996,DBLP,
1,673321,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,"Viswanath Poosala, Yannis E. Ioannidis",Very Large Data Bases,1996,ACM,
2,conf/vldb/PalpanasSCP02,Incremental Maintenance for Non-Distributive Aggregate Functions,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",VLDB,2002,DBLP,
3,673484,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang",Very Large Data Bases,1996,ACM,
3,conf/vldb/GardarinGT96,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",VLDB,1996,DBLP,
4,conf/vldb/HoelS95,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",VLDB,1995,DBLP,
4,673135,Benchmarking Spatial Join Operations with Spatial Output,"Erik G. Hoel, Hanan Samet",Very Large Data Bases,1995,ACM,
5,304219,Efficient geometry-based similarity search of 3D spatial databases,Daniel A. Keim,International Conference on Management of Data,1999,ACM,
5,conf/sigmod/Keim99,Efficient Geometry-based Similarity Search of 3D Spatial Databases,Daniel A. Keim,SIGMOD Conference,1999,DBLP,
6,journals/sigmod/Ouksel02,Mining the World Wide Web: An Information Search Approach - Book Review,Aris M. Ouksel,SIGMOD Record,2002,DBLP,
7,journals/vldb/Seshadri98,Enhanced Abstract Data Types in Object-Relational Databases,Praveen Seshadri,VLDB J.,1998,DBLP,
7,765531,Enhanced abstract data types in object-relational databases,Praveen Seshadri,The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998,ACM,
8,262769,Report on DART '96: databases: active and real-time (concepts meet practice),"Krithi Ramamritham, Nandit Soparkar",ACM SIGMOD Record ,1997,ACM,
8,journals/sigmod/RamamrithamS97,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),"Nandit Soparkar, Krithi Ramamritham",SIGMOD Record,1997,DBLP,
9,journals/sigmod/DAndreaJ96,UniSQL's Next-Generation Object-Relational Database Management System,"Phil Janus, Albert D'Andrea",SIGMOD Record,1996,DBLP,
9,234902,UniSQL's next-generation object-relational database management system,"Albert D'Andrea, Phil Janus",ACM SIGMOD Record ,1996,ACM,
